                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.2304,                0.85381,                0.95227,                0.00667,                      1,                0.83674,                 0.4185,                 1.7861,                 3.0368,                 1.4246,             0.00026945,             0.00026945,             0.00026945
                     87,                 1.5233,                 1.1828,                0.96936,                0.00667,                      1,                0.83674,                 0.4185,                 1.7861,                 3.0368,                 1.4246,             0.00025559,             0.00025559,             0.00025559
                     88,                 1.2785,                0.88645,                0.92799,                0.00667,                      1,                0.83712,                0.44088,                 1.7913,                 2.9323,                 1.3824,             0.00024134,             0.00024134,             0.00024134
                     89,                 1.2775,                 0.8535,                0.98392,                0.00667,                      1,                0.83712,                0.44088,                 1.7913,                 2.9323,                 1.3824,             0.00022669,             0.00022669,             0.00022669
                     90,                 1.8472,                 1.0139,                0.97117,                0.00667,                      1,                0.83712,                0.44088,                 1.7913,                 2.9323,                 1.3824,             0.00021164,             0.00021164,             0.00021164
                     91,                 1.3414,                0.95829,                0.97082,                0.00667,                      1,                0.83712,                0.44088,                 1.7913,                 2.9323,                 1.3824,              0.0001962,              0.0001962,              0.0001962
                     92,                 1.1484,                0.88937,                0.94258,                0.22591,                0.83333,                0.84256,                0.44196,                 1.8352,                 2.8242,                 1.3709,             0.00018036,             0.00018036,             0.00018036
                     93,                 1.4167,                 1.2066,                0.90482,                0.22591,                0.83333,                0.84256,                0.44196,                 1.8352,                 2.8242,                 1.3709,             0.00016413,             0.00016413,             0.00016413
                     94,                 1.2193,                 1.0935,                0.90224,                0.22591,                0.83333,                0.84256,                0.44196,                 1.8352,                 2.8242,                 1.3709,              0.0001475,              0.0001475,              0.0001475
                     95,                 1.3472,                 1.0349,                0.95893,                0.22591,                0.83333,                0.84256,                0.44196,                 1.8352,                 2.8242,                 1.3709,             0.00013047,             0.00013047,             0.00013047
                     96,                 1.3136,                  1.033,                0.96359,                      1,                0.66529,                  0.995,                0.43353,                 1.8767,                  2.758,                 1.4301,             0.00011305,             0.00011305,             0.00011305
                     97,                  1.291,                 1.0953,                0.95365,                      1,                0.66529,                  0.995,                0.43353,                 1.8767,                  2.758,                 1.4301,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                 1.4679,                 1.0437,                 1.0325,                      1,                0.66529,                  0.995,                0.43353,                 1.8767,                  2.758,                 1.4301,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                  1.243,                 1.0107,                0.93854,                      1,                0.66529,                  0.995,                0.43353,                 1.8767,                  2.758,                 1.4301,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                 1.2057,                0.93559,                  1.007,                      1,                0.59558,                  0.995,                0.44526,                 1.8961,                 2.6351,                 1.4567,             3.9402e-05,             3.9402e-05,             3.9402e-05
